Message,Category,cleaned_message
Your transaction ID is TXN320942. Please keep it for your records.,Transactional,your transaction id is txn320942 please keep it for your records
Your payment of ₹2623 was successful.,Transactional,your payment of 2623 was successful
Your payment of ₹8971 was successful.,Transactional,your payment of 8971 was successful
Your transaction ID is TXN468151. Please keep it for your records.,Transactional,your transaction id is txn468151 please keep it for your records
Your OTP is 628671. Do not share it with anyone.,Transactional,your otp is 628671 do not share it with anyone
Your transaction ID is TXN529302. Please keep it for your records.,Transactional,your transaction id is txn529302 please keep it for your records
Your OTP is 462466. Do not share it with anyone.,Transactional,your otp is 462466 do not share it with anyone
Your transaction ID is TXN481262. Please keep it for your records.,Transactional,your transaction id is txn481262 please keep it for your records
Your package with tracking ID 215637 has been shipped.,Transactional,your package with tracking id 215637 has been shipped
Your transaction ID is TXN130596. Please keep it for your records.,Transactional,your transaction id is txn130596 please keep it for your records
Your OTP is 675369. Do not share it with anyone.,Transactional,your otp is 675369 do not share it with anyone
Your transaction ID is TXN934993. Please keep it for your records.,Transactional,your transaction id is txn934993 please keep it for your records
Your transaction ID is TXN869629. Please keep it for your records.,Transactional,your transaction id is txn869629 please keep it for your records
Your OTP is 832307. Do not share it with anyone.,Transactional,your otp is 832307 do not share it with anyone
Your package with tracking ID 439437 has been shipped.,Transactional,your package with tracking id 439437 has been shipped
Your payment of ₹3692 was successful.,Transactional,your payment of 3692 was successful
Your payment of ₹1517 was successful.,Transactional,your payment of 1517 was successful
Your package with tracking ID 420138 has been shipped.,Transactional,your package with tracking id 420138 has been shipped
Your transaction ID is TXN165016. Please keep it for your records.,Transactional,your transaction id is txn165016 please keep it for your records
Your OTP is 298690. Do not share it with anyone.,Transactional,your otp is 298690 do not share it with anyone
Your payment of ₹5674 was successful.,Transactional,your payment of 5674 was successful
Your transaction ID is TXN875778. Please keep it for your records.,Transactional,your transaction id is txn875778 please keep it for your records
Your transaction ID is TXN201335. Please keep it for your records.,Transactional,your transaction id is txn201335 please keep it for your records
Your package with tracking ID 317739 has been shipped.,Transactional,your package with tracking id 317739 has been shipped
Your OTP is 782177. Do not share it with anyone.,Transactional,your otp is 782177 do not share it with anyone
Your transaction ID is TXN939701. Please keep it for your records.,Transactional,your transaction id is txn939701 please keep it for your records
Your payment of ₹9230 was successful.,Transactional,your payment of 9230 was successful
Your payment of ₹5708 was successful.,Transactional,your payment of 5708 was successful
Your payment of ₹9128 was successful.,Transactional,your payment of 9128 was successful
Your transaction ID is TXN920412. Please keep it for your records.,Transactional,your transaction id is txn920412 please keep it for your records
Your transaction ID is TXN762666. Please keep it for your records.,Transactional,your transaction id is txn762666 please keep it for your records
Your transaction ID is TXN306979. Please keep it for your records.,Transactional,your transaction id is txn306979 please keep it for your records
Your transaction ID is TXN126833. Please keep it for your records.,Transactional,your transaction id is txn126833 please keep it for your records
Your payment of ₹8499 was successful.,Transactional,your payment of 8499 was successful
Your package with tracking ID 901886 has been shipped.,Transactional,your package with tracking id 901886 has been shipped
Your OTP is 522053. Do not share it with anyone.,Transactional,your otp is 522053 do not share it with anyone
Your OTP is 164191. Do not share it with anyone.,Transactional,your otp is 164191 do not share it with anyone
Your OTP is 564282. Do not share it with anyone.,Transactional,your otp is 564282 do not share it with anyone
Your package with tracking ID 831618 has been shipped.,Transactional,your package with tracking id 831618 has been shipped
Your transaction ID is TXN474623. Please keep it for your records.,Transactional,your transaction id is txn474623 please keep it for your records
Your OTP is 118752. Do not share it with anyone.,Transactional,your otp is 118752 do not share it with anyone
Your package with tracking ID 984819 has been shipped.,Transactional,your package with tracking id 984819 has been shipped
Your payment of ₹5583 was successful.,Transactional,your payment of 5583 was successful
Your package with tracking ID 263627 has been shipped.,Transactional,your package with tracking id 263627 has been shipped
Your payment of ₹891 was successful.,Transactional,your payment of 891 was successful
Your OTP is 296258. Do not share it with anyone.,Transactional,your otp is 296258 do not share it with anyone
Your transaction ID is TXN534505. Please keep it for your records.,Transactional,your transaction id is txn534505 please keep it for your records
Your OTP is 172107. Do not share it with anyone.,Transactional,your otp is 172107 do not share it with anyone
Your payment of ₹3602 was successful.,Transactional,your payment of 3602 was successful
Your package with tracking ID 250350 has been shipped.,Transactional,your package with tracking id 250350 has been shipped
Your payment of ₹4183 was successful.,Transactional,your payment of 4183 was successful
Your transaction ID is TXN354629. Please keep it for your records.,Transactional,your transaction id is txn354629 please keep it for your records
Your transaction ID is TXN991214. Please keep it for your records.,Transactional,your transaction id is txn991214 please keep it for your records
Your payment of ₹8454 was successful.,Transactional,your payment of 8454 was successful
Your package with tracking ID 690861 has been shipped.,Transactional,your package with tracking id 690861 has been shipped
Your transaction ID is TXN550380. Please keep it for your records.,Transactional,your transaction id is txn550380 please keep it for your records
Your payment of ₹2727 was successful.,Transactional,your payment of 2727 was successful
Your payment of ₹1597 was successful.,Transactional,your payment of 1597 was successful
Your payment of ₹9645 was successful.,Transactional,your payment of 9645 was successful
Your transaction ID is TXN149273. Please keep it for your records.,Transactional,your transaction id is txn149273 please keep it for your records
Your transaction ID is TXN226847. Please keep it for your records.,Transactional,your transaction id is txn226847 please keep it for your records
Your package with tracking ID 442982 has been shipped.,Transactional,your package with tracking id 442982 has been shipped
Your payment of ₹7308 was successful.,Transactional,your payment of 7308 was successful
Your payment of ₹1738 was successful.,Transactional,your payment of 1738 was successful
Your transaction ID is TXN996981. Please keep it for your records.,Transactional,your transaction id is txn996981 please keep it for your records
Your transaction ID is TXN353017. Please keep it for your records.,Transactional,your transaction id is txn353017 please keep it for your records
Your package with tracking ID 876662 has been shipped.,Transactional,your package with tracking id 876662 has been shipped
Your package with tracking ID 289705 has been shipped.,Transactional,your package with tracking id 289705 has been shipped
Your OTP is 165929. Do not share it with anyone.,Transactional,your otp is 165929 do not share it with anyone
Your package with tracking ID 628571 has been shipped.,Transactional,your package with tracking id 628571 has been shipped
Your transaction ID is TXN469776. Please keep it for your records.,Transactional,your transaction id is txn469776 please keep it for your records
Your OTP is 814324. Do not share it with anyone.,Transactional,your otp is 814324 do not share it with anyone
Your payment of ₹1813 was successful.,Transactional,your payment of 1813 was successful
Your transaction ID is TXN228806. Please keep it for your records.,Transactional,your transaction id is txn228806 please keep it for your records
Your payment of ₹3050 was successful.,Transactional,your payment of 3050 was successful
Your package with tracking ID 688964 has been shipped.,Transactional,your package with tracking id 688964 has been shipped
Your transaction ID is TXN838684. Please keep it for your records.,Transactional,your transaction id is txn838684 please keep it for your records
Your transaction ID is TXN107570. Please keep it for your records.,Transactional,your transaction id is txn107570 please keep it for your records
Your OTP is 546296. Do not share it with anyone.,Transactional,your otp is 546296 do not share it with anyone
Your OTP is 686421. Do not share it with anyone.,Transactional,your otp is 686421 do not share it with anyone
Your transaction ID is TXN325669. Please keep it for your records.,Transactional,your transaction id is txn325669 please keep it for your records
Your package with tracking ID 523309 has been shipped.,Transactional,your package with tracking id 523309 has been shipped
Your package with tracking ID 667705 has been shipped.,Transactional,your package with tracking id 667705 has been shipped
Your OTP is 880475. Do not share it with anyone.,Transactional,your otp is 880475 do not share it with anyone
Your package with tracking ID 793172 has been shipped.,Transactional,your package with tracking id 793172 has been shipped
Your payment of ₹685 was successful.,Transactional,your payment of 685 was successful
Your OTP is 915392. Do not share it with anyone.,Transactional,your otp is 915392 do not share it with anyone
Your transaction ID is TXN626057. Please keep it for your records.,Transactional,your transaction id is txn626057 please keep it for your records
Your package with tracking ID 201034 has been shipped.,Transactional,your package with tracking id 201034 has been shipped
Your payment of ₹3168 was successful.,Transactional,your payment of 3168 was successful
Your OTP is 401461. Do not share it with anyone.,Transactional,your otp is 401461 do not share it with anyone
Your OTP is 173788. Do not share it with anyone.,Transactional,your otp is 173788 do not share it with anyone
Your payment of ₹5563 was successful.,Transactional,your payment of 5563 was successful
Your transaction ID is TXN759062. Please keep it for your records.,Transactional,your transaction id is txn759062 please keep it for your records
Your transaction ID is TXN225496. Please keep it for your records.,Transactional,your transaction id is txn225496 please keep it for your records
Your OTP is 704853. Do not share it with anyone.,Transactional,your otp is 704853 do not share it with anyone
Your transaction ID is TXN550620. Please keep it for your records.,Transactional,your transaction id is txn550620 please keep it for your records
Your payment of ₹4429 was successful.,Transactional,your payment of 4429 was successful
Your payment of ₹6778 was successful.,Transactional,your payment of 6778 was successful
Your package with tracking ID 228362 has been shipped.,Transactional,your package with tracking id 228362 has been shipped
Your payment of ₹167 was successful.,Transactional,your payment of 167 was successful
Your payment of ₹5415 was successful.,Transactional,your payment of 5415 was successful
Your OTP is 703881. Do not share it with anyone.,Transactional,your otp is 703881 do not share it with anyone
Your transaction ID is TXN490113. Please keep it for your records.,Transactional,your transaction id is txn490113 please keep it for your records
Your package with tracking ID 280361 has been shipped.,Transactional,your package with tracking id 280361 has been shipped
Your package with tracking ID 899085 has been shipped.,Transactional,your package with tracking id 899085 has been shipped
Your package with tracking ID 484363 has been shipped.,Transactional,your package with tracking id 484363 has been shipped
Your transaction ID is TXN488468. Please keep it for your records.,Transactional,your transaction id is txn488468 please keep it for your records
Your transaction ID is TXN475929. Please keep it for your records.,Transactional,your transaction id is txn475929 please keep it for your records
Your OTP is 144204. Do not share it with anyone.,Transactional,your otp is 144204 do not share it with anyone
Your OTP is 279487. Do not share it with anyone.,Transactional,your otp is 279487 do not share it with anyone
Your OTP is 507702. Do not share it with anyone.,Transactional,your otp is 507702 do not share it with anyone
Your OTP is 285770. Do not share it with anyone.,Transactional,your otp is 285770 do not share it with anyone
Your payment of ₹2790 was successful.,Transactional,your payment of 2790 was successful
Your transaction ID is TXN623172. Please keep it for your records.,Transactional,your transaction id is txn623172 please keep it for your records
Your package with tracking ID 905109 has been shipped.,Transactional,your package with tracking id 905109 has been shipped
Your OTP is 954406. Do not share it with anyone.,Transactional,your otp is 954406 do not share it with anyone
Your package with tracking ID 232952 has been shipped.,Transactional,your package with tracking id 232952 has been shipped
Your package with tracking ID 225331 has been shipped.,Transactional,your package with tracking id 225331 has been shipped
Your OTP is 509442. Do not share it with anyone.,Transactional,your otp is 509442 do not share it with anyone
Your payment of ₹1559 was successful.,Transactional,your payment of 1559 was successful
Your transaction ID is TXN152680. Please keep it for your records.,Transactional,your transaction id is txn152680 please keep it for your records
Your payment of ₹5960 was successful.,Transactional,your payment of 5960 was successful
Your transaction ID is TXN495584. Please keep it for your records.,Transactional,your transaction id is txn495584 please keep it for your records
Your package with tracking ID 722236 has been shipped.,Transactional,your package with tracking id 722236 has been shipped
Your package with tracking ID 950850 has been shipped.,Transactional,your package with tracking id 950850 has been shipped
Your payment of ₹3522 was successful.,Transactional,your payment of 3522 was successful
Your transaction ID is TXN351285. Please keep it for your records.,Transactional,your transaction id is txn351285 please keep it for your records
Your package with tracking ID 244959 has been shipped.,Transactional,your package with tracking id 244959 has been shipped
Your payment of ₹6898 was successful.,Transactional,your payment of 6898 was successful
Your package with tracking ID 665009 has been shipped.,Transactional,your package with tracking id 665009 has been shipped
Your transaction ID is TXN394978. Please keep it for your records.,Transactional,your transaction id is txn394978 please keep it for your records
Your payment of ₹9347 was successful.,Transactional,your payment of 9347 was successful
Your OTP is 481273. Do not share it with anyone.,Transactional,your otp is 481273 do not share it with anyone
Your transaction ID is TXN401864. Please keep it for your records.,Transactional,your transaction id is txn401864 please keep it for your records
Your package with tracking ID 529907 has been shipped.,Transactional,your package with tracking id 529907 has been shipped
Your payment of ₹4208 was successful.,Transactional,your payment of 4208 was successful
Your package with tracking ID 547928 has been shipped.,Transactional,your package with tracking id 547928 has been shipped
Your OTP is 484688. Do not share it with anyone.,Transactional,your otp is 484688 do not share it with anyone
Your transaction ID is TXN644618. Please keep it for your records.,Transactional,your transaction id is txn644618 please keep it for your records
Your package with tracking ID 244463 has been shipped.,Transactional,your package with tracking id 244463 has been shipped
Your OTP is 238466. Do not share it with anyone.,Transactional,your otp is 238466 do not share it with anyone
Your payment of ₹9340 was successful.,Transactional,your payment of 9340 was successful
Your OTP is 111777. Do not share it with anyone.,Transactional,your otp is 111777 do not share it with anyone
Your payment of ₹6031 was successful.,Transactional,your payment of 6031 was successful
Your transaction ID is TXN925120. Please keep it for your records.,Transactional,your transaction id is txn925120 please keep it for your records
Your package with tracking ID 543622 has been shipped.,Transactional,your package with tracking id 543622 has been shipped
Your OTP is 939167. Do not share it with anyone.,Transactional,your otp is 939167 do not share it with anyone
Your OTP is 634447. Do not share it with anyone.,Transactional,your otp is 634447 do not share it with anyone
Your transaction ID is TXN656968. Please keep it for your records.,Transactional,your transaction id is txn656968 please keep it for your records
Your transaction ID is TXN822545. Please keep it for your records.,Transactional,your transaction id is txn822545 please keep it for your records
Your payment of ₹1994 was successful.,Transactional,your payment of 1994 was successful
Your transaction ID is TXN353070. Please keep it for your records.,Transactional,your transaction id is txn353070 please keep it for your records
Your transaction ID is TXN797412. Please keep it for your records.,Transactional,your transaction id is txn797412 please keep it for your records
Your payment of ₹1090 was successful.,Transactional,your payment of 1090 was successful
Your OTP is 209773. Do not share it with anyone.,Transactional,your otp is 209773 do not share it with anyone
Your OTP is 208590. Do not share it with anyone.,Transactional,your otp is 208590 do not share it with anyone
Your transaction ID is TXN778544. Please keep it for your records.,Transactional,your transaction id is txn778544 please keep it for your records
Your payment of ₹6126 was successful.,Transactional,your payment of 6126 was successful
Your package with tracking ID 289131 has been shipped.,Transactional,your package with tracking id 289131 has been shipped
Your transaction ID is TXN764023. Please keep it for your records.,Transactional,your transaction id is txn764023 please keep it for your records
Your OTP is 421683. Do not share it with anyone.,Transactional,your otp is 421683 do not share it with anyone
Your transaction ID is TXN593139. Please keep it for your records.,Transactional,your transaction id is txn593139 please keep it for your records
Your OTP is 109239. Do not share it with anyone.,Transactional,your otp is 109239 do not share it with anyone
Your transaction ID is TXN849546. Please keep it for your records.,Transactional,your transaction id is txn849546 please keep it for your records
Your payment of ₹8201 was successful.,Transactional,your payment of 8201 was successful
Your payment of ₹885 was successful.,Transactional,your payment of 885 was successful
Your transaction ID is TXN950801. Please keep it for your records.,Transactional,your transaction id is txn950801 please keep it for your records
Your payment of ₹3701 was successful.,Transactional,your payment of 3701 was successful
Your package with tracking ID 818949 has been shipped.,Transactional,your package with tracking id 818949 has been shipped
Your package with tracking ID 350322 has been shipped.,Transactional,your package with tracking id 350322 has been shipped
Your OTP is 748487. Do not share it with anyone.,Transactional,your otp is 748487 do not share it with anyone
Your payment of ₹8388 was successful.,Transactional,your payment of 8388 was successful
Your package with tracking ID 183486 has been shipped.,Transactional,your package with tracking id 183486 has been shipped
Your payment of ₹4775 was successful.,Transactional,your payment of 4775 was successful
Your OTP is 688784. Do not share it with anyone.,Transactional,your otp is 688784 do not share it with anyone
Your payment of ₹4902 was successful.,Transactional,your payment of 4902 was successful
Your package with tracking ID 559465 has been shipped.,Transactional,your package with tracking id 559465 has been shipped
Your package with tracking ID 137153 has been shipped.,Transactional,your package with tracking id 137153 has been shipped
Your package with tracking ID 645582 has been shipped.,Transactional,your package with tracking id 645582 has been shipped
Your payment of ₹4954 was successful.,Transactional,your payment of 4954 was successful
Your transaction ID is TXN132831. Please keep it for your records.,Transactional,your transaction id is txn132831 please keep it for your records
Your payment of ₹3505 was successful.,Transactional,your payment of 3505 was successful
Your OTP is 112156. Do not share it with anyone.,Transactional,your otp is 112156 do not share it with anyone
Your payment of ₹1967 was successful.,Transactional,your payment of 1967 was successful
Your OTP is 599459. Do not share it with anyone.,Transactional,your otp is 599459 do not share it with anyone
Your package with tracking ID 706821 has been shipped.,Transactional,your package with tracking id 706821 has been shipped
Your OTP is 780751. Do not share it with anyone.,Transactional,your otp is 780751 do not share it with anyone
Your OTP is 303168. Do not share it with anyone.,Transactional,your otp is 303168 do not share it with anyone
Your package with tracking ID 402427 has been shipped.,Transactional,your package with tracking id 402427 has been shipped
Your transaction ID is TXN811534. Please keep it for your records.,Transactional,your transaction id is txn811534 please keep it for your records
Your transaction ID is TXN574762. Please keep it for your records.,Transactional,your transaction id is txn574762 please keep it for your records
Your OTP is 488348. Do not share it with anyone.,Transactional,your otp is 488348 do not share it with anyone
Your OTP is 230237. Do not share it with anyone.,Transactional,your otp is 230237 do not share it with anyone
Your payment of ₹8488 was successful.,Transactional,your payment of 8488 was successful
Your package with tracking ID 951651 has been shipped.,Transactional,your package with tracking id 951651 has been shipped
Your OTP is 777920. Do not share it with anyone.,Transactional,your otp is 777920 do not share it with anyone
Your transaction ID is TXN607427. Please keep it for your records.,Transactional,your transaction id is txn607427 please keep it for your records
Your payment of ₹5401 was successful.,Transactional,your payment of 5401 was successful
Your transaction ID is TXN156701. Please keep it for your records.,Transactional,your transaction id is txn156701 please keep it for your records
Your OTP is 403546. Do not share it with anyone.,Transactional,your otp is 403546 do not share it with anyone
Your package with tracking ID 855808 has been shipped.,Transactional,your package with tracking id 855808 has been shipped
Your transaction ID is TXN328210. Please keep it for your records.,Transactional,your transaction id is txn328210 please keep it for your records
Your OTP is 922463. Do not share it with anyone.,Transactional,your otp is 922463 do not share it with anyone
Your transaction ID is TXN291197. Please keep it for your records.,Transactional,your transaction id is txn291197 please keep it for your records
Your package with tracking ID 432256 has been shipped.,Transactional,your package with tracking id 432256 has been shipped
Your OTP is 988018. Do not share it with anyone.,Transactional,your otp is 988018 do not share it with anyone
Your OTP is 770006. Do not share it with anyone.,Transactional,your otp is 770006 do not share it with anyone
Your transaction ID is TXN255600. Please keep it for your records.,Transactional,your transaction id is txn255600 please keep it for your records
Your package with tracking ID 831962 has been shipped.,Transactional,your package with tracking id 831962 has been shipped
Your OTP is 964244. Do not share it with anyone.,Transactional,your otp is 964244 do not share it with anyone
Your OTP is 292280. Do not share it with anyone.,Transactional,your otp is 292280 do not share it with anyone
Your OTP is 796431. Do not share it with anyone.,Transactional,your otp is 796431 do not share it with anyone
Your package with tracking ID 717656 has been shipped.,Transactional,your package with tracking id 717656 has been shipped
Your payment of ₹9748 was successful.,Transactional,your payment of 9748 was successful
Your transaction ID is TXN403434. Please keep it for your records.,Transactional,your transaction id is txn403434 please keep it for your records
Your OTP is 767993. Do not share it with anyone.,Transactional,your otp is 767993 do not share it with anyone
Your OTP is 579259. Do not share it with anyone.,Transactional,your otp is 579259 do not share it with anyone
Your payment of ₹5416 was successful.,Transactional,your payment of 5416 was successful
Your payment of ₹6242 was successful.,Transactional,your payment of 6242 was successful
Your package with tracking ID 684266 has been shipped.,Transactional,your package with tracking id 684266 has been shipped
Your OTP is 723329. Do not share it with anyone.,Transactional,your otp is 723329 do not share it with anyone
Your OTP is 659546. Do not share it with anyone.,Transactional,your otp is 659546 do not share it with anyone
Your package with tracking ID 450966 has been shipped.,Transactional,your package with tracking id 450966 has been shipped
Your OTP is 459277. Do not share it with anyone.,Transactional,your otp is 459277 do not share it with anyone
Your OTP is 218749. Do not share it with anyone.,Transactional,your otp is 218749 do not share it with anyone
Your package with tracking ID 912890 has been shipped.,Transactional,your package with tracking id 912890 has been shipped
Your payment of ₹8285 was successful.,Transactional,your payment of 8285 was successful
Your OTP is 429554. Do not share it with anyone.,Transactional,your otp is 429554 do not share it with anyone
Your OTP is 806707. Do not share it with anyone.,Transactional,your otp is 806707 do not share it with anyone
Your payment of ₹4745 was successful.,Transactional,your payment of 4745 was successful
Your package with tracking ID 462086 has been shipped.,Transactional,your package with tracking id 462086 has been shipped
Your transaction ID is TXN128522. Please keep it for your records.,Transactional,your transaction id is txn128522 please keep it for your records
Your transaction ID is TXN262180. Please keep it for your records.,Transactional,your transaction id is txn262180 please keep it for your records
Your payment of ₹7513 was successful.,Transactional,your payment of 7513 was successful
Your payment of ₹8411 was successful.,Transactional,your payment of 8411 was successful
Your transaction ID is TXN179896. Please keep it for your records.,Transactional,your transaction id is txn179896 please keep it for your records
Your package with tracking ID 753715 has been shipped.,Transactional,your package with tracking id 753715 has been shipped
Your transaction ID is TXN552088. Please keep it for your records.,Transactional,your transaction id is txn552088 please keep it for your records
Your OTP is 374328. Do not share it with anyone.,Transactional,your otp is 374328 do not share it with anyone
Your payment of ₹1925 was successful.,Transactional,your payment of 1925 was successful
Your payment of ₹7557 was successful.,Transactional,your payment of 7557 was successful
Your package with tracking ID 335596 has been shipped.,Transactional,your package with tracking id 335596 has been shipped
Your package with tracking ID 320243 has been shipped.,Transactional,your package with tracking id 320243 has been shipped
Your payment of ₹9093 was successful.,Transactional,your payment of 9093 was successful
Your payment of ₹5291 was successful.,Transactional,your payment of 5291 was successful
Your OTP is 997425. Do not share it with anyone.,Transactional,your otp is 997425 do not share it with anyone
Your package with tracking ID 305969 has been shipped.,Transactional,your package with tracking id 305969 has been shipped
Your payment of ₹1620 was successful.,Transactional,your payment of 1620 was successful
Your payment of ₹3921 was successful.,Transactional,your payment of 3921 was successful
Your transaction ID is TXN647193. Please keep it for your records.,Transactional,your transaction id is txn647193 please keep it for your records
Your transaction ID is TXN285622. Please keep it for your records.,Transactional,your transaction id is txn285622 please keep it for your records
Your transaction ID is TXN283370. Please keep it for your records.,Transactional,your transaction id is txn283370 please keep it for your records
Your package with tracking ID 220411 has been shipped.,Transactional,your package with tracking id 220411 has been shipped
Your payment of ₹4417 was successful.,Transactional,your payment of 4417 was successful
Your package with tracking ID 546020 has been shipped.,Transactional,your package with tracking id 546020 has been shipped
Your payment of ₹9179 was successful.,Transactional,your payment of 9179 was successful
Your transaction ID is TXN352572. Please keep it for your records.,Transactional,your transaction id is txn352572 please keep it for your records
Your payment of ₹7328 was successful.,Transactional,your payment of 7328 was successful
Your payment of ₹8791 was successful.,Transactional,your payment of 8791 was successful
Your transaction ID is TXN932723. Please keep it for your records.,Transactional,your transaction id is txn932723 please keep it for your records
Your payment of ₹6693 was successful.,Transactional,your payment of 6693 was successful
Your package with tracking ID 861519 has been shipped.,Transactional,your package with tracking id 861519 has been shipped
Your payment of ₹3481 was successful.,Transactional,your payment of 3481 was successful
Your OTP is 704189. Do not share it with anyone.,Transactional,your otp is 704189 do not share it with anyone
Your payment of ₹9121 was successful.,Transactional,your payment of 9121 was successful
Your OTP is 980765. Do not share it with anyone.,Transactional,your otp is 980765 do not share it with anyone
Your package with tracking ID 605340 has been shipped.,Transactional,your package with tracking id 605340 has been shipped
Your package with tracking ID 699982 has been shipped.,Transactional,your package with tracking id 699982 has been shipped
Your OTP is 154254. Do not share it with anyone.,Transactional,your otp is 154254 do not share it with anyone
Your package with tracking ID 839136 has been shipped.,Transactional,your package with tracking id 839136 has been shipped
Your package with tracking ID 302195 has been shipped.,Transactional,your package with tracking id 302195 has been shipped
Your transaction ID is TXN565975. Please keep it for your records.,Transactional,your transaction id is txn565975 please keep it for your records
Your payment of ₹4993 was successful.,Transactional,your payment of 4993 was successful
Your OTP is 439465. Do not share it with anyone.,Transactional,your otp is 439465 do not share it with anyone
Your payment of ₹3675 was successful.,Transactional,your payment of 3675 was successful
Your payment of ₹7626 was successful.,Transactional,your payment of 7626 was successful
Your transaction ID is TXN463637. Please keep it for your records.,Transactional,your transaction id is txn463637 please keep it for your records
Your payment of ₹7467 was successful.,Transactional,your payment of 7467 was successful
Your payment of ₹5978 was successful.,Transactional,your payment of 5978 was successful
Your package with tracking ID 421146 has been shipped.,Transactional,your package with tracking id 421146 has been shipped
Your payment of ₹1999 was successful.,Transactional,your payment of 1999 was successful
Your payment of ₹1400 was successful.,Transactional,your payment of 1400 was successful
Your payment of ₹9151 was successful.,Transactional,your payment of 9151 was successful
Your transaction ID is TXN327255. Please keep it for your records.,Transactional,your transaction id is txn327255 please keep it for your records
Your payment of ₹9942 was successful.,Transactional,your payment of 9942 was successful
Your payment of ₹8193 was successful.,Transactional,your payment of 8193 was successful
Your payment of ₹7061 was successful.,Transactional,your payment of 7061 was successful
Your package with tracking ID 295247 has been shipped.,Transactional,your package with tracking id 295247 has been shipped
Your OTP is 984460. Do not share it with anyone.,Transactional,your otp is 984460 do not share it with anyone
Your OTP is 470922. Do not share it with anyone.,Transactional,your otp is 470922 do not share it with anyone
Your OTP is 211543. Do not share it with anyone.,Transactional,your otp is 211543 do not share it with anyone
Your payment of ₹3194 was successful.,Transactional,your payment of 3194 was successful
Your payment of ₹5450 was successful.,Transactional,your payment of 5450 was successful
Your package with tracking ID 609271 has been shipped.,Transactional,your package with tracking id 609271 has been shipped
Your package with tracking ID 261330 has been shipped.,Transactional,your package with tracking id 261330 has been shipped
Your OTP is 728275. Do not share it with anyone.,Transactional,your otp is 728275 do not share it with anyone
Your transaction ID is TXN717001. Please keep it for your records.,Transactional,your transaction id is txn717001 please keep it for your records
Your package with tracking ID 258066 has been shipped.,Transactional,your package with tracking id 258066 has been shipped
Your OTP is 203683. Do not share it with anyone.,Transactional,your otp is 203683 do not share it with anyone
Your transaction ID is TXN867529. Please keep it for your records.,Transactional,your transaction id is txn867529 please keep it for your records
Your transaction ID is TXN493439. Please keep it for your records.,Transactional,your transaction id is txn493439 please keep it for your records
Your OTP is 651595. Do not share it with anyone.,Transactional,your otp is 651595 do not share it with anyone
Your transaction ID is TXN701974. Please keep it for your records.,Transactional,your transaction id is txn701974 please keep it for your records
Your package with tracking ID 978907 has been shipped.,Transactional,your package with tracking id 978907 has been shipped
Your OTP is 973952. Do not share it with anyone.,Transactional,your otp is 973952 do not share it with anyone
Your transaction ID is TXN988777. Please keep it for your records.,Transactional,your transaction id is txn988777 please keep it for your records
Your OTP is 853512. Do not share it with anyone.,Transactional,your otp is 853512 do not share it with anyone
Your transaction ID is TXN913449. Please keep it for your records.,Transactional,your transaction id is txn913449 please keep it for your records
Your OTP is 619546. Do not share it with anyone.,Transactional,your otp is 619546 do not share it with anyone
Your OTP is 599792. Do not share it with anyone.,Transactional,your otp is 599792 do not share it with anyone
Your OTP is 164683. Do not share it with anyone.,Transactional,your otp is 164683 do not share it with anyone
Your OTP is 690265. Do not share it with anyone.,Transactional,your otp is 690265 do not share it with anyone
Your OTP is 117125. Do not share it with anyone.,Transactional,your otp is 117125 do not share it with anyone
Your OTP is 463086. Do not share it with anyone.,Transactional,your otp is 463086 do not share it with anyone
Your payment of ₹5756 was successful.,Transactional,your payment of 5756 was successful
Your package with tracking ID 129883 has been shipped.,Transactional,your package with tracking id 129883 has been shipped
Your transaction ID is TXN654004. Please keep it for your records.,Transactional,your transaction id is txn654004 please keep it for your records
Your transaction ID is TXN570523. Please keep it for your records.,Transactional,your transaction id is txn570523 please keep it for your records
Your payment of ₹4793 was successful.,Transactional,your payment of 4793 was successful
Your OTP is 360204. Do not share it with anyone.,Transactional,your otp is 360204 do not share it with anyone
Your payment of ₹6553 was successful.,Transactional,your payment of 6553 was successful
Your payment of ₹1683 was successful.,Transactional,your payment of 1683 was successful
Your OTP is 942546. Do not share it with anyone.,Transactional,your otp is 942546 do not share it with anyone
Your package with tracking ID 955159 has been shipped.,Transactional,your package with tracking id 955159 has been shipped
Your OTP is 980428. Do not share it with anyone.,Transactional,your otp is 980428 do not share it with anyone
Your transaction ID is TXN839516. Please keep it for your records.,Transactional,your transaction id is txn839516 please keep it for your records
Your package with tracking ID 281402 has been shipped.,Transactional,your package with tracking id 281402 has been shipped
Your transaction ID is TXN343503. Please keep it for your records.,Transactional,your transaction id is txn343503 please keep it for your records
Your transaction ID is TXN551064. Please keep it for your records.,Transactional,your transaction id is txn551064 please keep it for your records
Your package with tracking ID 608191 has been shipped.,Transactional,your package with tracking id 608191 has been shipped
Your OTP is 496120. Do not share it with anyone.,Transactional,your otp is 496120 do not share it with anyone
Your OTP is 425494. Do not share it with anyone.,Transactional,your otp is 425494 do not share it with anyone
Your OTP is 618147. Do not share it with anyone.,Transactional,your otp is 618147 do not share it with anyone
Your package with tracking ID 346865 has been shipped.,Transactional,your package with tracking id 346865 has been shipped
Your payment of ₹1373 was successful.,Transactional,your payment of 1373 was successful
Your package with tracking ID 110381 has been shipped.,Transactional,your package with tracking id 110381 has been shipped
